ID Number,pH,Total Alkalinity,Total Hardness,Free Chlorine,Total Chlorine,Nitrite,Nitrate,Total Iron,Source of Household Water,Showerhead Installation Time Frame,Frequency of Household Shower Usage,Frequency of Showerhead Cleaning,Showerhead Cleaning Solution,Showerhead Material,Interior Showerhead Finish,Showerhead System Setup,Does the Showerhead Have a Filter?,Showerhead Spray Pattern Description,How is Water Heated,Age of Hot Water Heater,Hot Water Heater Flush Frequency
NTM00266,6.2,40,120,0,0,0,0,0.15,Unknown/Other,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,No Finish,Fixed/Permanent,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,6-10 Years,Never
NTM00473,7,240,25/425,0,0,0,1,0.6,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,Do Not Know,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,6-10 Years,Never
NTM00240,6.8,80,50,0,2,0,2,0.15,Municipal Water System,More than 6 Months Ago,10-3 times/week,Once Every 6 Months,Water,Combination of Plastic/Metal,Nickel,Fixed/Permanent,Yes,Multiple Interchangeable Spray Patterns,Hot Water Heater,1-5 Years,Never
NTM00137,6.2,120,,2,1,1,1,0.15,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Metal,Brass,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Gas Tankless Water Heater,6-10 Years,Do Not Know
NTM00232,6.2,180,120,0,0.5,0,0,0,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed Showerhead w/ Additional Handheld Unit,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,<1 Year,Never
NTM00111,7.2,180,250,0,0.5,,,0,Municipal Water System,Do Not Know,14+ times/week,Never,NA,Plastic,No Finish,Fixed Showerhead w/ Additional Handheld Unit,Do Not Know,Multiple Interchangeable Spray Patterns,Hot Water Heater,6-10 Years,Do Not Know
NTM00115,6.2,40,120,0,0.25,0,1,0.15,Municipal Water System,More than 6 Months Ago,10-13 times/week,Never,NA,Metal,Chrome,Fixed/Permanent,Yes,Multiple Interchangeable Spray Patterns,Hot Water Heater,Do Not Know,Never
NTM00118,6.6,160,100,0,0,0,0.5,0.1,Well-Water System,More than 6 Months Ago,14+ times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,Yes,Drenching Forced Spray Ideal For Rinsing Shampoo,Electric Tankless Water Heater,1-5 Years,Never
NTM00340,6.8,240,120,0,0,0,1,0,Well-Water System,More than 6 Months Ago,5-9 times/week,Once a Month,Water,Metal,Chrome,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,Do Not Know,Do Not Know
NTM00450,6.2,120,120,0,0,0.15,3.5,0.07,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,No Finish,Fixed/Permanent,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,<1 Year,Do Not Know
NTM00436,6.2,120,120,0,4,0,0,0,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,Yes,Wide Coverage That Feels Like Drenching Rain,Electric Tankless Water Heater,6-10 Years,Do Not Know
NTM00368,6.2,60,120,0.25,0,0,0.5,0.15,Municipal Water System,More than 6 Months Ago,10-13 times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Gas Tankless Water Heater,1-5 Years,Do Not Know
NTM00440,6.2,80,120,0,0,0,2,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,No Finish,Fixed/Permanent,Yes,Multiple Interchangeable Spray Patterns,Hot Water Heater,>10 Years,Never
NTM00269,6.8,120,120,0,0,0,0,0.15,Well-Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,No Finish,Fixed/Permanent,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,>10 Years,Do Not Know
NTM00298,< 6.2,40,250,0,0,0,0,0,Well-Water System,More than 6 Months Ago,14+ times/week,Never,NA,Combination of Plastic/Metal,Copper,Fixed/Permanent,Yes,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,6-10 Years,Never
NTM00382,8.2,150,100,0,8,0,2,0.15,Municipal Water System,More than 6 Months Ago,10-13 times/week,Never,NA,Combination of Plastic/Metal,No Finish,Fixed/Permanent,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,>10 Years,Do Not Know
NTM00293,6.2,80,120,0,1,0,1,0.15,Municipal Water System,More than 6 Months Ago,10-13 times/week,Never,NA,,,Fixed/Permanent,Do Not Know,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,6-10 Years,Do Not Know
NTM00315,6.8,180,120,0,0.5,0,1,0.15,Municipal Water System,Within the Last 6 Months,1-4 times/week,Never,NA,Metal,Chrome,Fixed/Permanent,Do Not Know,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,6-10 Years,Yearly
NTM00005,6.2,80,120,0,0,0,2,0.15,Municipal Water System,Do Not Know,1-4 times/week,Never,NA,Metal,No Finish,Fixed/Permanent,Do Not Know,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,Do Not Know,Do Not Know
NTM00308,6.2,100,120,0.25,2,0,0.5,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Electric Tankless Water Heater,6-10 Years,Never
NTM00303,6.8,160,250,0,0.3,0,1,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,Do Not Know,Multiple Interchangeable Spray Patterns,Hot Water Heater,Do Not Know,Never
NTM00305,6.2,40,50,0,0.5,0,0,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,Do Not Know,Wide Coverage That Feels Like Drenching Rain,Electric Tankless Water Heater,Do Not Know,Do Not Know
NTM00270,6.2,180,120,0,0.5,1,0,0.1,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Metal,Do Not Know,Fixed Showerhead w/ Additional Handheld Unit,Do Not Know,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,6-10 Years,Never
NTM00283,6.2,0,120,0,0,0,1,1,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,No,Multiple Interchangeable Spray Patterns,Gas Tankless Water Heater,>10 Years,Never
NTM00291,6.2,180,50,0,0,0,0,0,Well-Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,Yes,Multiple Interchangeable Spray Patterns,Hot Water Heater,>10 Years,Every Few Years
NTM00335,6.8,80,120,0.5,0.5,0,0,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,No Finish,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,6-10 Years,Never
NTM00195,6.8,240,50,0,0.5,0,2,0.15,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Plastic,Do Not Know,Fixed/Permanent,Yes,Fine Misting of Water (Low Flow),Hot Water Heater,1-5 Years,Never
NTM00206,8.4,240,250,0,0,0,2,0.15,Well-Water System,More than 6 Months Ago,14+ times/week,Never,NA,Metal,Chrome,Fixed/Permanent,No,Targeted Pattern Producing Sharp Pointed Spray,Electric Tankless Water Heater,>10 Years,Yearly
NTM00359,< 6.2,40,250,0,0,0,0,0.08,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed Showerhead w/ Additional Handheld Unit,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,1-5 Years,Never
NTM00446,6.8,180,120,0.5,0,0.05,2,0.15,Municipal Water System,Within the Last 6 Months,5-9 times/week,Never,NA,Combination of Plastic/Metal,No Finish,Fixed Showerhead w/ Additional Handheld Unit,Yes,Multiple Interchangeable Spray Patterns,Hot Water Heater,1-5 Years,Do Not Know
NTM00205,6.2,80,200,0,0.5,0,0.5,0.075,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,1-5 Years,Never
NTM00451,6.2,40,180,0,0.5,0,5,0.15,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Combination of Plastic/Metal,Copper,Fixed/Permanent,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,1-5 Years,Never
NTM00461,6.2,200,250,1,1,0,2,0.3,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,No Finish,Fixed/Permanent,Yes,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,>10 Years,Never
NTM00036,6.2,40,120,0,1,0,1,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,No Finish,Fixed/Permanent,Yes,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,1-5 Years,Do Not Know
NTM00236,6.2,60,120,0,0,0,1,0.15,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Combination of Plastic/Metal,Nickel,Fixed/Permanent,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,6-10 Years,Every Few Years
NTM00096,6.5,60,90,0,0.5,0,1,0.15,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,Yes,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,Do Not Know,Do Not Know
NTM00284,6.2,40,120,0,0,1,0,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,Do Not Know,Multiple Interchangeable Spray Patterns,Hot Water Heater,6-10 Years,Do Not Know
NTM00396,6.2,80,120,0,0,0,1,0.15,Municipal Water System,Within the Last 6 Months,14+ times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,<1 Year,Do Not Know
NTM00483,6.2,40,50,0,0.5,0,1,0.15,Municipal Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Plastic,No Finish,Fixed Showerhead w/ Additional Handheld Unit,Yes,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,1-5 Years,Never
NTM00330,6.2,80,120,0,0,0.3,10,0.15,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,<1 Year,Do Not Know
NTM00076,6.2,120,25,1,2,0,2,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Once Every 6 Months,Undiluted Bleach,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,>10 Years,Every Few Years
NTM00229,6.8,190,120,0,0,0,0.5,0.2,Municipal Water System,Do Not Know,1-4 times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,6-10 Years,Yearly
NTM00434,6.2,80,50,0,0.5,0,1,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Metal,Nickel,Fixed/Permanent,Do Not Know,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,Do Not Know,Do Not Know
NTM00131,< 6.2,130,250,0,0,0.1,1,0.1,Unknown/Other,Do Not Know,5-9 times/week,Once a Year,Bleach and Water,Metal,Nickel,Fixed/Permanent,Yes,Wide Coverage That Feels Like Drenching Rain,Electric Tankless Water Heater,1-5 Years,Every Few Years
NTM00300,5.5,55,120,0,5.5,0,1,0.15,Municipal Water System,Do Not Know,14+ times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,Do Not Know,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,1-5 Years,Do Not Know
NTM00334,7.2,180,120,0,0,0,1,0.15,Municipal Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Metal,Nickel,Fixed/Permanent,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,6-10 Years,Never
NTM00378,6.8,180,120,0,0.5,0,1,0.15,Municipal Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,Yes,Targeted Pattern Producing Sharp Pointed Spray,Hot Water Heater,>10 Years,Never
NTM00067,6.2,120,250,0,0,0,1,0.075,Well-Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Copper,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,1-5 Years,Never
NTM00173,6.8,180,50,0,0,0,2,0.1,Municipal Water System,More than 6 Months Ago,Once a Month,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,Do Not Know,Multiple Interchangeable Spray Patterns,Hot Water Heater,6-10 Years,Never
NTM00495,7.2,120,250,0,1.5,0.1,1,0.15,Municipal Water System,Within the Last 6 Months,5-9 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,Yes,Targeted Pattern Producing Sharp Pointed Spray,Hot Water Heater,1-5 Years,Do Not Know
NTM00497,6.2,60,120,0,3,0,0,0.15,Municipal Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Plastic,No Finish,Fixed/Permanent,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Electric Tankless Water Heater,1-5 Years,Do Not Know
NTM00230,6.2,160,120,0,3,0,0,0,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,Yes,Multiple Interchangeable Spray Patterns,Hot Water Heater,>10 Years,Never
NTM00144,7,240,120,0,0,0,1,0.15,Municipal Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,Do Not Know,Multiple Interchangeable Spray Patterns,Hot Water Heater,Do Not Know,Do Not Know
NTM00238,6.2,40,120,0,0.5,1,0,0,Municipal Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Metal,No Finish,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,<1 Year,Yearly
NTM00471,6.2,40,120,0,0,0,1,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Metal,Nickel,Fixed/Permanent,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,1-5 Years,Do Not Know
NTM00080,6.5,200,120,0,0.5,0,1,0.1,Unknown/Other,More than 6 Months Ago,5-9 times/week,Once a Month,Vinegar,Combination of Plastic/Metal,No Finish,Fixed Showerhead w/ Additional Handheld Unit,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,1-5 Years,Never
NTM00289,6.8,160,250,0,0,0,2,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Chrome,Fixed/Permanent,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,Do Not Know,Do Not Know
NTM00233,6.2,80,250,0,0,0,2,0,Municipal Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Plastic,No Finish,Fixed Showerhead w/ Additional Handheld Unit,Yes,Multiple Interchangeable Spray Patterns,Hot Water Heater,<1 Year,Never
NTM00394,6.8,130,20/300,0,2,0,5,0.15,Municipal Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Plastic,Chrome,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,Do Not Know,Do Not Know
NTM00034,6.2,60,120,0,0.24,0,0.1,0.1,Municipal Water System,Do Not Know,5-9 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,Do Not Know,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,6-10 Years,Do Not Know
NTM00210,6.2,170,250,0,0,0,0,0.1,Municipal Water System,More than 6 Months Ago,10-13 times/week,Never,NA,Combination of Plastic/Metal,Chrome,Fixed/Permanent,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,Do Not Know,Do Not Know
NTM00066,6.8,80,120,0,0.5,0,2,0.6,Well-Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,Yes,Multiple Interchangeable Spray Patterns,Hot Water Heater,>10 Years,Never
NTM00102,6.6,140,425,0,0.75,0.05,0.5,0.15,Municipal Water System,More than 6 Months Ago,10-13 times/week,Never,NA,Combination of Plastic/Metal,Nickel,Fixed/Permanent,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Gas Tankless Water Heater,Do Not Know,Do Not Know
NTM00397,6.2,120,250,0,0,0,1,0,Municipal Water System,More than 6 Months Ago,5-9 times/week,Once a Year,Bleach and Water,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,Yes,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,6-10 Years,Do Not Know
NTM00082,6.2,40,120,0,0,0,1,0.5,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,Do Not Know,Drenching Forced Spray Ideal For Rinsing Shampoo,Electric Tankless Water Heater,NA,NA
NTM00166,6.2,80,250,0,1.5,0,5,0.08,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,Do Not Know,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,1-5 Years,Do Not Know
NTM00304,6.2,120,25,0,0.5,0.15,2,0.15,Municipal Water System,Do Not Know,14+ times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,Do Not Know,Wide Coverage That Feels Like Drenching Rain,Do Not Know,Do Not Know,Do Not Know
NTM00158,6.2,180,120,0,0.25,0.3,5,0.05,Municipal Water System,More than 6 Months Ago,10-13 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,6-10 Years,Never
NTM00149,6.2,80,120,0,0.5,0,1,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,1-5 Years,Do Not Know
NTM00491,6.2,40,120,0,0.5,0,1,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed Showerhead w/ Additional Handheld Unit,Yes,Multiple Interchangeable Spray Patterns,Hot Water Heater,1-5 Years,Never
NTM00494,6.5,120,120,0,0,,3,0.15,Well-Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Combination of Plastic/Metal,No Finish,Fixed/Permanent,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,>10 Years,Never
NTM00292,6.2,40,50,0,1.5,0.15,,0.15,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Combination of Plastic/Metal,Chrome,Fixed/Permanent,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,>10 Years,Never
NTM00277,6.8,180,50,0,0,0,0,0,Well-Water System,Within the Last 6 Months,5-9 times/week,Never,NA,Combination of Plastic/Metal,No Finish,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,6-10 Years,Yearly
NTM00057,6.2,40,120,0,0.5,0,1,0.1,Municipal Water System,More than 6 Months Ago,10-13 times/week,Never,NA,Combination of Plastic/Metal,Brass,Fixed/Permanent,Yes,Multiple Interchangeable Spray Patterns,Hot Water Heater,1-5 Years,Never
NTM00121,6.2,180,120,0,0.5,0,1,0,Municipal Water System,More than 6 Months Ago,10-13 times/week,Once a Year,Commercial Cleaning Solution,Combination of Plastic/Metal,Nickel,Fixed Showerhead w/ Additional Handheld Unit,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,6-10 Years,Never
NTM00168,6.8,180,250,0,0.5,0,0,0.075,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,6-10 Years,Never
NTM00011,6.8,180,75,0,0,0,2,0.15,Municipal Water System,Do Not Know,10-13 times/week,Never,NA,Plastic,No Finish,Fixed Showerhead w/ Additional Handheld Unit,Yes,Multiple Interchangeable Spray Patterns,Hot Water Heater,Do Not Know,Yearly
NTM00395,6.2,120,120,0,2,0,0,0.07,Municipal Water System,More than 6 Months Ago,10-13 times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,Yes,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,1-5 Years,Do Not Know
NTM00189,6.8,120,250,0,0,0,0,0.15,Municipal Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Metal,Chrome,Fixed Showerhead w/ Additional Handheld Unit,No,Fine Misting of Water (Low Flow),Hot Water Heater,>10 Years,Yearly
NTM00022,6.6,60,50,0,0.9,0,1,0.12,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Plastic,No Finish,Fixed/Permanent,Do Not Know,Multiple Interchangeable Spray Patterns,Hot Water Heater,<1 Year,Do Not Know
NTM00287,6.2,120,250,0.5,0,0,1,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,No Finish,Fixed Showerhead w/ Additional Handheld Unit,Yes,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,1-5 Years,Do Not Know
NTM00362,6.8,180,50,0,0,0,1,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,No Finish,Fixed Showerhead w/ Additional Handheld Unit,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,1-5 Years,Never
NTM00053,6.2,80,250,0,0,0,0,0.03,Municipal Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,No,Full Flood Like A Sink Faucet,Hot Water Heater,6-10 Years,Yearly
NTM00393,6.2,120,250,0,0.5,0,15,0.075,Municipal Water System,More than 6 Months Ago,Do Not Know,Never,NA,Metal,Do Not Know,Fixed/Permanent,Do Not Know,Drenching Forced Spray Ideal For Rinsing Shampoo,Steam Heated,Do Not Know,Do Not Know
NTM00097,6.2,90,250,0,0,0,1,0.15,Well-Water System,More than 6 Months Ago,10-13 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,1-5 Years,Never
NTM00202,6.8,160,120,0.25,4,0,2,0.15,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,Do Not Know,Multiple Interchangeable Spray Patterns,Hot Water Heater,>10 Years,Never
NTM00311,6.2,180,50,0,0.25,0,1,0.15,Municipal Water System,Do Not Know,14+ times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Do Not Know,Do Not Know,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,6-10 Years,Never
NTM00336,6.2,60,71,0,0.5,0,0.5,0.15,Municipal Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Plastic,No Finish,Fixed/Permanent,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,>10 Years,Never
NTM00253,6.2,90,120,0,3,0,1,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Plastic,No Finish,Fixed/Permanent,Do Not Know,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,Do Not Know,Do Not Know
NTM00142,7.2,240,250,0,0.5,0,1,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Plastic,No Finish,Fixed/Permanent,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,>10 Years,Never
NTM00652,6.2,30,50,0,0,0,0,0.075,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,1-5 Years,Never
NTM00484,6.2,180,120,0.5,1,0,1,0.15,Municipal Water System,More than 6 Months Ago,10-13 times/week,Never,NA,Combination of Plastic/Metal,Chrome,Fixed Showerhead w/ Additional Handheld Unit,Yes,Multiple Interchangeable Spray Patterns,Hot Water Heater,1-5 Years,Yearly
NTM00083,6.2,40,250,0,0,0.15,10,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,No Finish,Fixed Showerhead w/ Additional Handheld Unit,Yes,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,6-10 Years,Never
NTM00251,6.8,180,120,0.5,0.5,0,0,0.15,Unknown/Other,Do Not Know,5-9 times/week,Once Every 6 Months,Bleach and Water,Metal,Do Not Know,Fixed/Permanent,Yes,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,6-10 Years,Do Not Know
NTM00322,6.2,40,120,0,0,0.15,2,0.15,Municipal Water System,More than 6 Months Ago,10-13 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,Do Not Know,Multiple Interchangeable Spray Patterns,Hot Water Heater,6-10 Years,Every Few Years
NTM00061,6.4,120,250,0,0.5,0,0,0.12,Municipal Water System,More than 6 Months Ago,10-13 times/week,Never,NA,Plastic,Do Not Know,Fixed/Permanent,Do Not Know,Wide Coverage That Feels Like Drenching Rain,Electric Tankless Water Heater,1-5 Years,NA
NTM00139,6.2,60,120,0,0,0,0.5,0.15,Well-Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Metal,Brass,Fixed/Permanent,No,Fine Misting of Water (Low Flow),Electric Tankless Water Heater,6-10 Years,NA
NTM00429,6.5,110,120,0.25,0.5,0,0,0.12,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Metal,Chrome,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,1-5 Years,Do Not Know
NTM00063,6.8,80,250,0,0.5,0,1,0.6,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Plastic,No Finish,Fixed Showerhead w/ Additional Handheld Unit,No,Wide Coverage That Feels Like Drenching Rain,Electric Tankless Water Heater,1-5 Years,NA
NTM00062,6.2,80,120,0,0,0,2,0.15,Municipal Water System,More than 6 Months Ago,10-13 times/week,Never,NA,Metal,Nickel,Fixed/Permanent,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,>10 Years,Every Few Years
NTM00047,6.2,240,250,0,2,0,0,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Plastic,Do Not Know,Fixed/Permanent,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,Do Not Know,Never
NTM00165,7.2,180,120,0,0,0,10,0.15,Well-Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Plastic,Chrome,Fixed/Permanent,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,>10 Years,Never
NTM00035,6.2,180,120,0,0.5,1,0,1.5,Municipal Water System,Within the Last 6 Months,5-9 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,Yes,Multiple Interchangeable Spray Patterns,Hot Water Heater,Do Not Know,Do Not Know
